key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
2481611-0000269,5-10,5.400072820652904,cinque,1,-0.0009643554687490001,11.44875,0.66721435546875,-0.424973144531249,carla_p6
2481611-0000269,5-10,5.400072820652904,cinque,5,-2.941484375,18.31875,0.6032031249999991,-0.5556249999999999,carla_p6
2481611-0000269,5-10,5.400072820652904,lebowski,0,3.22765625,7.6784375,-1.02578125,-1.9441015625,carla_p6
2481611-0000269,5-10,5.400072820652904,lebowski,1,2.79546875,8.0446875,-1.570625,-1.883203125,carla_p6
2481611-0000269,5-10,5.400072820652904,lebowski,5,-2.411406249999999,17.068125,1.1367187499999991,-0.69453125,carla_p6
330710-0010316,5-10,8.636628111370369,cinque,0,-0.191416015625,25.29375,1.718251953125,-1.793974609375,carla_p6
330710-0010316,5-10,8.636628111370369,cinque,1,-0.138408203125,23.61375,1.363994140625,-1.094951171875,carla_p6
330710-0010316,5-10,8.636628111370369,cinque,5,-12.4415625,18.26125,1.8771874999999991,-0.500624999999999,carla_p6
330710-0010316,5-10,8.636628111370369,lebowski,0,-0.0012808227539060002,24.605625,1.5355776977539062,-1.324266052246093,carla_p6
330710-0010316,5-10,8.636628111370369,lebowski,1,-0.045123291015625004,24.433125,1.101256103515625,-1.214329833984375,carla_p6
330710-0010316,5-10,8.636628111370369,lebowski,5,1.7419921875000002,26.656875,1.7762109375000001,-0.637421875,carla_p6
2592810-0002864,5-10,6.058707779571247,cinque,0,-0.084951171875,5.558125,1.949404296875,-0.543056640625,carla_p6
2592810-0002864,5-10,6.058707779571247,cinque,1,-0.06257568359375,0.7678515625,0.48827880859375,-0.174465332031249,carla_p6
2592810-0002864,5-10,6.058707779571247,cinque,5,-0.024622192382812002,1.8860156250000002,0.37815734863281203,-0.17009948730468702,carla_p6
2592810-0002864,5-10,6.058707779571247,lebowski,0,0.01540771484375,12.4228125,1.17685791015625,-0.6243725585937501,carla_p6
2592810-0002864,5-10,6.058707779571247,lebowski,1,-0.034769287109375005,4.23953125,0.414925537109374,-0.11266235351562501,carla_p6
2592810-0002864,5-10,6.058707779571247,lebowski,5,0.001217384338378,1.25578125,0.7303646469116211,-0.14533847808837802,carla_p6
251310-0006108,5-10,9.90333122437491,cinque,0,-6.2409375,23.305,2.18828125,-1.0146875,carla_p6
