scope,judge,n,delta,lo,hi,model,gate,source
Pedestrians,ADE dec1-9,1637,0.9226590991020204,0.7502544774932015,1.09706669441455,cinque,g1,mc
Pedestrians,ADE pre_onset dec1-9,83,0.5860205292701721,-0.0632338704579561,1.3101053278614214,cinque,g1,mc
Cyclists,RFS (rater),71,-0.7958494666766032,-1.2943131029467334,-0.3204835461341906,cinque,g1,mc
Cyclists,ADE dec1-9,2326,0.7348247766494751,0.6086765481962253,0.8630994648093835,cinque,g1,mc
Cyclists,ADE pre_onset dec1-9,206,0.7509867548942566,0.367885142209984,1.2543423949963246,cinque,g1,mc
Cut_ins,RFS (rater),20,-1.20475435193312,-2.261107816467562,-0.1899393935412433,cinque,g1,mc
Cut_ins,ADE dec1-9,724,0.7842985391616821,0.5635289115049648,1.031175302935784,cinque,g1,mc
Cut_ins,ADE pre_onset dec1-9,16,0.3037850856781006,-0.2821513017018636,0.7502908170223236,cinque,g1,mc
FOD,RFS (rater),78,-0.5096534160210416,-0.9136827157679202,-0.1100905073133285,cinque,g1,mc
FOD,ADE dec1-9,3175,0.9911508560180664,0.8690631974242914,1.1126150256628284,cinque,g1,mc
FOD,ADE pre_onset dec1-9,252,1.0557279586791992,0.7130540751529956,1.379793079521057,cinque,g1,mc
Intersections,RFS (rater),116,-0.3233033853625265,-0.654139516103972,0.0097860934319938,cinque,g1,mc
Intersections,ADE dec1-9,4299,0.8336670994758606,0.7124229113636482,0.9688284455041422,cinque,g1,mc
Intersections,ADE pre_onset dec1-9,301,0.7492799758911133,0.3845528835722707,1.114917138142913,cinque,g1,mc
all,RFS (rater),478,-0.0126152002989307,-0.0425698736593507,0.016303581143124,cinque,g3,mc
all,ADE dec1-9,17389,0.0044692582450807,0.0022179828681774,0.0070431736597522,cinque,g3,mc
all,ADE pre_onset dec1-9,1245,0.0092327054589986,0.0002786960988271,0.0196201699335856,cinque,g3,mc
Pedestrians,RFS (rater),52,0.0,0.0,0.0,cinque,g3,mc
Pedestrians,ADE dec1-9,1637,0.0082909390330314,-0.0002227044294923,0.0197165377901652,cinque,g3,mc
Pedestrians,ADE pre_onset dec1-9,83,0.0015082388417795,-0.0034064292545696,0.0071859955787658,cinque,g3,mc
Cyclists,RFS (rater),71,0.062153584785233,0.0,0.1864607543556991,cinque,g3,mc
Cyclists,ADE dec1-9,2326,0.0025341368746012,-0.0031779570874541,0.008805476858873,cinque,g3,mc
Cyclists,ADE pre_onset dec1-9,206,0.0194284599274396,-0.000255352454566,0.0554979075893434,cinque,g3,mc
Cut_ins,RFS (rater),20,0.0,0.0,0.0,cinque,g3,mc
Cut_ins,ADE dec1-9,724,0.0064843813888728,0.0009317357421229,0.0146118254807886,cinque,g3,mc
Cut_ins,ADE pre_onset dec1-9,16,0.0490625575184822,0.0,0.1239475137309024,cinque,g3,mc
FOD,RFS (rater),78,0.0,0.0,0.0,cinque,g3,mc
FOD,ADE dec1-9,3175,0.0004807356453966,-0.0014224368893219,0.0024740684801982,cinque,g3,mc
FOD,ADE pre_onset dec1-9,252,0.0061765974387526,-0.0004619537541322,0.0153547930429532,cinque,g3,mc
Intersections,RFS (rater),116,-0.0300784027392617,-0.094477759873468,0.0033336613613352,cinque,g3,mc
Intersections,ADE dec1-9,4299,0.0072622643783688,0.0013128886649374,0.0151031676276884,cinque,g3,mc
Intersections,ADE pre_onset dec1-9,301,0.0023996869567781,-0.0223639352555049,0.0335728391086401,cinque,g3,mc
all,RFS (rater),478,-0.0266156840323089,-0.0927398471839667,0.0373227688650131,cinque,g2,mc
all,ADE dec1-9,17389,0.082301065325737,0.0686569455084571,0.0960591461142025,cinque,g2,mc
all,ADE pre_onset dec1-9,1245,0.0303743295371532,-0.0050115099000881,0.0653829158352581,cinque,g2,mc
Pedestrians,RFS (rater),52,0.0903770048965568,-0.0400597636651117,0.2347725610377801,cinque,g2,mc
Pedestrians,ADE dec1-9,1637,0.1135778501629829,0.0657484022581717,0.1654840902639044,cinque,g2,mc
