examinee,vs,scope,n,delta,lo,hi
student A s1 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,-0.0043668122270742,-0.0090764356393486,0.0
student A s1 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student A s1 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,-0.0060882800608828,-0.0182391702823731,0.0045736959810256
student A s1 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.0102777566306742,0.0030959752321981
student A s1 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0043668122270742,-0.0091713590472266,0.0005388734113634
student A s1 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student A s1 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,-0.0060882800608828,-0.0164726881593414,0.0045112781954887
student A s1 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.009375,0.0030130440377992
student A s2 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0207423580786026,-0.0323457740971486,-0.0092372807099895
student A s2 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,0.0,-0.0235877000804793,0.026431718061674
student A s2 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0289193302891933,-0.0503894185105709,-0.0102324306405548
student A s2 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0198123044838373,-0.0319612415910617,-0.009129547333609
student A s2 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,-0.0021834061135371,-0.0070715350223546,0.0021633607964056
student A s2 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student A s2 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0,-0.0075642965204236,0.0074524014564016
