examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
G2 student A s1 x g2 [cinque],static,0.6536538600921629,959,65,65,0.7831074035453598,0.7302892540302305,0.8333376690946931,0.8738269030239834,0.09071949947862357,771,0.2503242542153048,,,,
G2 M-C pair s2 [cinque],pooled,1.665218305587768,1832,65,65,0.6239082969432315,0.5711956786604658,0.6706973105164497,0.7123362445414847,0.08842794759825327,1727,0.06832657788071801,0.050505050505050504,0.050505050505050504,792.0,0.6262660109650411
G2 M-C pair s2 [cinque],cutin,1.665218305587768,216,27,27,0.6527777777777778,0.5692944409119811,0.7380952380952381,0.8194444444444444,0.16666666666666666,398,0.15326633165829145,,,,
G2 M-C pair s2 [cinque],oncoming,1.665218305587768,657,60,60,0.5753424657534246,0.5163630472350231,0.6315046444868424,0.6560121765601218,0.0806697108066971,558,0.05197132616487455,,,,
G2 M-C pair s2 [cinque],static,1.665218305587768,959,65,65,0.6506777893639207,0.5911866415878054,0.7020876288659792,0.7267987486965589,0.07612095933263817,771,0.03631647211413749,,,,
G2 M-C hard s2 [cinque],pooled,2.297808670997618,1832,65,65,0.6353711790393013,0.5907048347839865,0.6778924340950113,0.6664847161572053,0.03111353711790393,1727,0.08164447017950202,0.050505050505050504,0.06944444444444445,792.0,0.6418521066764575
G2 M-C hard s2 [cinque],cutin,2.297808670997618,216,27,27,0.6898148148148148,0.6027964063660892,0.7718446601941747,0.7546296296296297,0.06481481481481481,398,0.1984924623115578,,,,
G2 M-C hard s2 [cinque],oncoming,2.297808670997618,657,60,60,0.563165905631659,0.5082434338386362,0.6182153009841318,0.5875190258751902,0.0243531202435312,558,0.016129032258064516,,,,
G2 M-C hard s2 [cinque],static,2.297808670997618,959,65,65,0.6725755995828988,0.6215623877056572,0.7210829002079001,0.7007299270072993,0.028154327424400417,771,0.06874189364461739,,,,
G2 M-C uniform s2 [cinque],pooled,1.5075907707214347,1832,65,65,0.6861353711790393,0.6415591000750329,0.7278439934367907,0.7287117903930131,0.0425764192139738,1727,0.1013317892298784,0.050505050505050504,0.054292929292929296,792.0,0.68909215780362
G2 M-C uniform s2 [cinque],cutin,1.5075907707214347,216,27,27,0.7314814814814815,0.6401732339816452,0.8156800851397987,0.8148148148148148,0.08333333333333333,398,0.20100502512562815,,,,
G2 M-C uniform s2 [cinque],oncoming,1.5075907707214347,657,60,60,0.6027397260273972,0.5485362095531587,0.6559261776546242,0.6301369863013698,0.0273972602739726,558,0.03046594982078853,,,,
G2 M-C uniform s2 [cinque],static,1.5075907707214347,959,65,65,0.7330552659019812,0.6841552709689451,0.7780182200207509,0.7768508863399375,0.043795620437956206,771,0.10116731517509728,,,,
G2 student A s2 [cinque],pooled,1.2393683612346642,1832,65,65,0.6615720524017468,0.6096090796883438,0.7109991188741975,0.7527292576419214,0.09115720524017468,1727,0.10770121598147075,0.050505050505050504,0.05176767676767677,792.0,0.6449102885125949
G2 student A s2 [cinque],cutin,1.2393683612346642,216,27,27,0.6296296296296297,0.5255640324108176,0.7288175194044035,0.7916666666666666,0.16203703703703703,398,0.14321608040201006,,,,
G2 student A s2 [cinque],oncoming,1.2393683612346642,657,60,60,0.5814307458143074,0.5206448829682946,0.6407505655308922,0.6590563165905632,0.0776255707762557,558,0.04121863799283154,,,,
G2 student A s2 [cinque],static,1.2393683612346642,959,65,65,0.7236704900938478,0.6687624516582679,0.7749743690851735,0.808133472367049,0.08446298227320125,771,0.13748378728923477,,,,
G2 student B s2 [cinque],pooled,0.9977754622697829,1832,65,65,0.6839519650655022,0.6362168889075147,0.7301977917961993,0.7805676855895196,0.09661572052401747,1727,0.1337579617834395,0.050505050505050504,0.08712121212121213,792.0,0.669690217927061
G2 student B s2 [cinque],cutin,0.9977754622697829,216,27,27,0.6574074074074074,0.557128312863607,0.7523188376510527,0.8287037037037037,0.1712962962962963,398,0.18341708542713567,,,,
G2 student B s2 [cinque],oncoming,0.9977754622697829,657,60,60,0.6133942161339422,0.5573980650815249,0.6702384227677112,0.6986301369863014,0.0852359208523592,558,0.04838709677419355,,,,
G2 student B s2 [cinque],static,0.9977754622697829,959,65,65,0.7382690302398331,0.6895433110115632,0.7860819283778476,0.8258602711157456,0.08759124087591241,771,0.16990920881971466,,,,
G2 M-C pair s2 x g2 [cinque],pooled,0.6866146564483641,1832,65,65,0.7210698689956332,0.6776095870035567,0.7629131273553867,0.8138646288209607,0.0927947598253275,1727,0.15981470758540822,0.050505050505050504,0.06565656565656566,792.0,0.7091167426467231
G2 M-C pair s2 x g2 [cinque],cutin,0.6866146564483641,216,27,27,0.7037037037037037,0.6285651074589128,0.7789136359764925,0.8611111111111112,0.1574074074074074,398,0.2185929648241206,,,,
